OBJECTID_1,Planning Region,ARC Modeling Area,Geographic ID for geographic unit,Logical record number,Summary level of geographic unit,Name of geographic unit,"# Renter-occupied housing units, 2020","# Renter-occupied housing units, 2020 (MOE)","# Gross rent less than $500, 2020","# Gross rent less than $500, 2020 (MOE)","% Gross rent less than $500, 2020","% Gross rent less than $500, 2020 (MOE)","# Gross rent $500 to $999, 2020","# Gross rent $500 to $999, 2020 (MOE)","% Gross rent $500 to $999, 2020","% Gross rent $500 to $999, 2020 (MOE)","# Gross rent $1,000 to $1,499, 2020","# Gross rent $1,000 to $1,499, 2020 (MOE)","% Gross rent $1,000 to $1,499, 2020","% Gross rent $1,000 to $1,499, 2020 (MOE)","# Gross rent $1,500 to $1,999, 2020","# Gross rent $1,500 to $1,999, 2020 (MOE)","% Gross rent $1,500 to $1,999, 2020","% Gross rent $1,500 to $1,999, 2020 (MOE)","# Gross rent $2,000 to $2,499, 2020","# Gross rent $2,000 to $2,499, 2020 (MOE)","% Gross rent $2,000 to $2,499, 2020","% Gross rent $2,000 to $2,499, 2020 (MOE)","# Gross rent $2,500 to $2,999, 2020","# Gross rent $2,500 to $2,999, 2020 (MOE)","% Gross rent $2,500 to $2,999, 2020","% Gross rent $2,500 to $2,999, 2020 (MOE)","# Gross rent $3,000 or more, 2020","# Gross rent $3,000 or more, 2020 (MOE)","% Gross rent $3,000 or more, 2020","% Gross rent $3,000 or more, 2020 (MOE)","# Gross rent less than $200, 2020","# Gross rent less than $200, 2020 (MOE)","% Gross rent less than $200, 2020","% Gross rent less than $200, 2020 (MOE)","# Gross rent $200 to $499, 2020","# Gross rent $200 to $499, 2020 (MOE)","% Gross rent $200 to $499, 2020","% Gross rent $200 to $499, 2020 (MOE)","# Gross rent $500 to $749, 2020","# Gross rent $500 to $749, 2020 (MOE)","% Gross rent $500 to $749, 2020","% Gross rent $500 to $749, 2020 (MOE)","# Gross rent $750 to $999, 2020","# Gross rent $750 to $999, 2020 (MOE)","% Gross rent $750 to $999, 2020","% Gross rent $750 to $999, 2020 (MOE)","# Gross rent $1,000 to $1,499, 2020","# Gross rent $1,000 to $1,499, 2020 (MOE)","% Gross rent $1,000 to $1,499, 2020","% Gross rent $1,000 to $1,499, 2020 (MOE)","# Gross rent $1,500 to $1,999, 2020","# Gross rent $1,500 to $1,999, 2020 (MOE)","% Gross rent $1,500 to $1,999, 2020","% Gross rent $1,500 to $1,999, 2020 (MOE)","# Gross rent $2,000 or more, 2020","# Gross rent $2,000 or more, 2020 (MOE)","% Gross rent $2,000 or more, 2020","% Gross rent $2,000 or more, 2020 (MOE)","# Gross rent less than $750, 2020","# Gross rent less than $750, 2020 (MOE)","% Gross rent less than $750, 2020","% Gross rent less than $750, 2020 (MOE)","# Gross rent $1,000 or more, 2020","# Gross rent $1,000 or more, 2020 (MOE)","% Gross rent $1,000 or more, 2020","% Gross rent $1,000 or more, 2020 (MOE)",Shape__Area,Shape__Length
11,Atlanta Regional Commission,Yes,30309,4033,ZCTA,2020 ZCTA 30309,8527.3457,781.17915,284.77503,191.89273,3.4,2.2,837.05026,307.32237,9.9,3.5,2196.5486,428.56431,26,4.5,3124.2882,573.0856,37,5.8,1147.0989,327.53229,13.6,3.7,534.12706,188.48572,6.3,2.2,330.71007,169.15234,3.9,2,47,91.487259,0.6,1.1,237.77503,168.67988,2.8,2,266.50867,171.33087,3.2,2,570.54159,255.13286,6.7,3,2196.5486,428.56431,26,4.5,3124.2882,573.0856,37,5.8,2011.936,414.0251,23.8,4.4,551.2837,257.24908,6.5,3,6467.9357,787.00183,76.5,6,92792955.1604004,67742.4858638719
12,Atlanta Regional Commission,Yes,30331,4050,ZCTA,2020 ZCTA 30331,12753.765,1449.8521,1148.3382,341.23984,9.2,2.5,3910.4621,844.29653,31.3,5.7,6003.1685,1202.3454,48,7.8,1330.9212,453.72058,10.6,3.4,52.158071,86.021866,0.4,0.7,58.897122,122.26186,0.5,1,0,88.760807,0,0.7,138.97313,136.61771,1.1,1.1,1009.365,312.69831,8.1,2.3,1036.9607,416.19157,8.3,3.2,2873.5014,734.58914,23,5.2,6003.1685,1202.3454,48,7.8,1330.9212,453.72058,10.6,3.4,111.05519,173.85685,0.9,1.4,2185.2989,538.20075,17.5,3.8,7386.2478,1287.9816,59.1,7.7,1069031292.85767,266574.508082379
13,Heart of Georgia Altamaha,No,30410,4069,ZCTA,2020 ZCTA 30410,155.26616,55.165271,29.073967,36.595689,24.1,28.3,76.965346,52.064543,63.8,32.3,14.596235,25.014005,12.1,20,0,12.087065,0,10,0,12.087065,0,10,0,12.087065,0,10,0,17.093691,0,14.2,4.0598553,19.394382,3.4,16,25.014111,31.033891,20.7,24,51.879611,37.820577,43,24.7,25.085735,35.781567,20.8,28.2,14.596235,25.014005,12.1,20,0,12.087065,0,10,0,24.17413,0,20,80.953578,52.627374,67.1,31.5,14.596235,30.296777,12.1,24.5,1656184939.53418,296896.112151516
14,CRC / CSRA / HOGA,No,30425,4079,ZCTA,2020 ZCTA 30425,119.05686,67.273318,18.016418,33.766676,19.9,35.1,64.963525,54.712784,71.7,40.2,7.0316297,18.036984,7.8,19.3,0.58086622,10.683833,0.6,11.8,0,10.063591,0,11.1,0,10.063591,0,11.1,0,14.232066,0,15.7,1.5740839,17.43065,1.7,19.2,16.442334,28.919904,18.1,29.8,48.243522,47.795978,53.3,40.8,16.720003,26.627677,18.5,27,7.0316297,18.036984,7.8,19.3,0.58086622,10.683833,0.6,11.8,0,20.127181,0,22.2,66.259939,58.520458,73.1,45.4,7.6124959,23.254095,8.4,25.1,2226480732.20337,431778.850191425
15,Coastal Regional Commission,No,30461,4103,ZCTA,2020 ZCTA 30461,2844.7725,418.62057,291.5048,172.73257,11.1,6.3,1526.5369,354.84072,57.9,10,725.90915,274.20834,27.5,9.5,74.764664,67.544285,2.8,2.5,18.103688,36.783582,0.7,1.4,0,29.457427,0,1.1,0,41.659093,0,1.6,0,51.021761,0,1.9,291.5048,165.02521,11.1,6,711.21104,252.40393,27,8.6,815.32588,249.40769,30.9,8.2,725.90915,274.20834,27.5,9.5,74.764664,67.544285,2.8,2.5,18.103688,62.898744,0.7,2.4,1002.7158,305.8501,38,10,818.7775,284.79023,31.1,9.7,4642772232.37256,489532.240967843
16,Georgia Mountains,Partial,30531,4132,ZCTA,2020 ZCTA 30531,1027.1562,230.98591,140.93391,115.01093,14,10.9,602.48447,185.12715,59.7,12.4,245.43547,147.74618,24.3,13.6,19.275615,32.837661,1.9,3.2,0,25.252712,0,2.5,1.0394933,24.954574,0.1,2.5,0,35.712727,0,3.5,0.51974666,43.358258,0.1,4.3,140.41417,106.525,13.9,10.1,268.73987,116.56156,26.6,9.8,333.7446,143.82442,33.1,12.1,245.43547,147.74618,24.3,13.6,19.275615,32.837661,1.9,3.2,1.0394933,50.357016,0.1,5,409.67378,163.75015,40.6,13.4,264.71109,153.44362,26.2,14,1059346981.02905,268622.81077889
17,ARC / GM / NE,Partial,30548,4147,ZCTA,2020 ZCTA 30548,894.61364,248.99989,24.649604,108.84431,3.2,13.9,307.45208,172.19367,39.4,18.3,131.44487,76.642591,16.8,8.3,184.69278,123.15594,23.7,13.9,116.95031,124.04582,15,15.2,13.324511,46.104112,1.7,5.9,2.0413816,49.233808,0.3,6.3,5.5408926,61.584907,0.7,7.9,19.108712,89.746211,2.4,11.5,128.88808,124.72888,16.5,15.1,178.564,118.71549,22.9,13.4,131.44487,76.642591,16.8,8.3,184.69278,123.15594,23.7,13.9,132.3162,141.19816,17,17.3,153.53768,165.54267,19.7,20.3,433.08796,190.8634,55.5,17.3,1138484223.84814,394462.66661655
18,Georgia Mountains,No,30577,4169,ZCTA,2020 ZCTA 30577,2388.7053,388.73508,384.84234,170.566,16.6,6.8,1602.059,363.25728,69,10.7,334.447,156.95184,14.4,6.3,0.49958315,35.874043,0,1.5,0,35.716415,0,1.5,0,35.716415,0,1.5,0,50.510638,0,2.2,28,69.188054,1.2,3,356.84234,155.90309,15.4,6.2,751.21525,224.38105,32.4,8.1,850.84376,285.67288,36.6,10.7,334.447,156.95184,14.4,6.3,0.49958315,35.874043,0,1.5,0,71.432829,0,3.1,1136.0576,281.85035,48.9,9.1,334.94658,164.91358,14.4,6.7,4466176292.05493,682308.827614695
19,CSRA / NE,No,30660,4204,ZCTA,2020 ZCTA 30660,110.34704,60.056232,18.658922,48.504823,36.5,88.9,17.947429,32.756689,35.1,55.6,14.492789,22.538599,28.4,35.8,0.00641437,11.130526,0,21.8,0,11.157435,0,21.8,0,11.157435,0,21.8,0,15.778996,0,30.9,0,19.325245,0,37.8,18.658922,44.488794,36.5,80.5,10.006245,25.437219,19.6,46.5,7.9411845,20.63852,15.5,37.8,14.492789,22.538599,28.4,35.8,0.00641437,11.130526,0,21.8,0,22.31487,0,43.7,28.665166,54.770156,56.1,94.3,14.499204,27.502098,28.4,47.2,2793449502.448,367113.868880381
20,Northwest Georgia,No,30705,4219,ZCTA,2020 ZCTA 30705,3665.6472,439.59051,636.44969,245.4513,18.6,6.8,2329.9121,406.03216,68,8.3,440.5403,168.12727,12.9,4.6,18,43.022877,0.5,1.3,0,44.010998,0,1.3,2,41.916201,0.1,1.2,0,62.24095,0,1.8,12,77.55581,0.4,2.3,624.44969,232.87644,18.2,6.4,1593.4192,332.08023,46.5,7.8,736.49286,233.63398,21.5,6.3,440.5403,168.12727,12.9,4.6,18,43.022877,0.5,1.3,2,86.993515,0.1,2.5,2229.8689,412.94506,65.1,8.9,458.5403,179.03831,13.4,5,6837583411.56055,700495.474908197
