OBJECTID_1,Planning Region,ARC Modeling Area,Geographic ID for geographic unit,Logical record number,Summary level of geographic unit,Name of geographic unit,"# Renter-occupied housing units, 2020","# Renter-occupied housing units, 2020 (MOE)","# Gross rent less than $500, 2020","# Gross rent less than $500, 2020 (MOE)","% Gross rent less than $500, 2020","% Gross rent less than $500, 2020 (MOE)","# Gross rent $500 to $999, 2020","# Gross rent $500 to $999, 2020 (MOE)","% Gross rent $500 to $999, 2020","% Gross rent $500 to $999, 2020 (MOE)","# Gross rent $1,000 to $1,499, 2020","# Gross rent $1,000 to $1,499, 2020 (MOE)","% Gross rent $1,000 to $1,499, 2020","% Gross rent $1,000 to $1,499, 2020 (MOE)","# Gross rent $1,500 to $1,999, 2020","# Gross rent $1,500 to $1,999, 2020 (MOE)","% Gross rent $1,500 to $1,999, 2020","% Gross rent $1,500 to $1,999, 2020 (MOE)","# Gross rent $2,000 to $2,499, 2020","# Gross rent $2,000 to $2,499, 2020 (MOE)","% Gross rent $2,000 to $2,499, 2020","% Gross rent $2,000 to $2,499, 2020 (MOE)","# Gross rent $2,500 to $2,999, 2020","# Gross rent $2,500 to $2,999, 2020 (MOE)","% Gross rent $2,500 to $2,999, 2020","% Gross rent $2,500 to $2,999, 2020 (MOE)","# Gross rent $3,000 or more, 2020","# Gross rent $3,000 or more, 2020 (MOE)","% Gross rent $3,000 or more, 2020","% Gross rent $3,000 or more, 2020 (MOE)","# Gross rent less than $200, 2020","# Gross rent less than $200, 2020 (MOE)","% Gross rent less than $200, 2020","% Gross rent less than $200, 2020 (MOE)","# Gross rent $200 to $499, 2020","# Gross rent $200 to $499, 2020 (MOE)","% Gross rent $200 to $499, 2020","% Gross rent $200 to $499, 2020 (MOE)","# Gross rent $500 to $749, 2020","# Gross rent $500 to $749, 2020 (MOE)","% Gross rent $500 to $749, 2020","% Gross rent $500 to $749, 2020 (MOE)","# Gross rent $750 to $999, 2020","# Gross rent $750 to $999, 2020 (MOE)","% Gross rent $750 to $999, 2020","% Gross rent $750 to $999, 2020 (MOE)","# Gross rent $1,000 to $1,499, 2020","# Gross rent $1,000 to $1,499, 2020 (MOE)","% Gross rent $1,000 to $1,499, 2020","% Gross rent $1,000 to $1,499, 2020 (MOE)","# Gross rent $1,500 to $1,999, 2020","# Gross rent $1,500 to $1,999, 2020 (MOE)","% Gross rent $1,500 to $1,999, 2020","% Gross rent $1,500 to $1,999, 2020 (MOE)","# Gross rent $2,000 or more, 2020","# Gross rent $2,000 or more, 2020 (MOE)","% Gross rent $2,000 or more, 2020","% Gross rent $2,000 or more, 2020 (MOE)","# Gross rent less than $750, 2020","# Gross rent less than $750, 2020 (MOE)","% Gross rent less than $750, 2020","% Gross rent less than $750, 2020 (MOE)","# Gross rent $1,000 or more, 2020","# Gross rent $1,000 or more, 2020 (MOE)","% Gross rent $1,000 or more, 2020","% Gross rent $1,000 or more, 2020 (MOE)",Shape__Area,Shape__Length
219,Middle Georgia,No,31211,4368,ZCTA,2020 ZCTA 31211,2812.2023,383.90358,368.32425,199.84248,14.3,7.5,1716.5802,389.66173,66.8,11.7,398.31352,172.07506,15.5,6.3,87.895924,99.408754,3.4,3.8,0,33.733405,0,1.3,0,33.733405,0,1.3,0,47.706239,0,1.9,3.2902155,58.813845,0.1,2.3,365.03404,190.99201,14.2,7.1,925.08456,286.32045,36,9.8,791.49564,264.30449,30.8,9.3,398.31352,172.07506,15.5,6.3,87.895924,99.408754,3.4,3.8,0,67.46681,0,2.6,1293.4088,349.16532,50.3,11.5,486.20944,201.56852,18.9,7.3,1242167462.71143,221134.233317001
220,Coastal Regional Commission,No,31419,4407,ZCTA,2020 ZCTA 31419,9627.6826,757.85498,651.7582,348.52711,7,3.7,2901.116,500.20993,31.3,4.7,4730.2616,632.4604,51.1,5.3,827.58005,308.70154,8.9,3.2,141.96972,127.58623,1.5,1.4,7.8169932,57.284727,0.1,0.6,0,81.337842,0,0.9,8.7941179,99.485599,0.1,1.1,642.96408,334.02659,6.9,3.6,549.03978,250.88248,5.9,2.7,2352.0762,432.74468,25.4,4.2,4730.2616,632.4604,51.1,5.3,827.58005,308.70154,8.9,3.2,149.78672,161.78884,1.6,1.7,1200.798,429.43354,13,4.5,5699.8114,715.24894,61.5,5.8,2198991799.93628,523541.88360352
221,Southern Georgia,No,31516,4414,ZCTA,2020 ZCTA 31516,1377.517,341.31468,146.64153,131.48065,14,12,729.14017,251.28365,69.5,16.7,153.31595,118.07674,14.6,10.7,20,44.877802,1.9,4.3,0,32.46563,0,3.1,0,32.46563,0,3.1,0,45.913335,0,4.4,0,56.232121,0,5.4,146.64153,118.84911,14,10.8,434.66725,194.47464,41.4,15.5,294.47292,159.13229,28.1,13.5,153.31595,118.07674,14.6,10.7,20,44.877802,1.9,4.3,0,64.93126,0,6.2,581.30878,234.74997,55.4,17.7,173.31595,130.42296,16.5,11.7,4495598300.31458,420628.663249294
222,Coastal Regional Commission,No,31558,4444,ZCTA,2020 ZCTA 31558,3717.9959,528.54429,126.86287,146.90964,3.6,4.1,1513.5877,403.56084,42.6,9.4,1175.3359,296.21424,33.1,6.7,607.76344,383.93474,17.1,10.5,115.43042,95.95505,3.3,2.7,3.9390936,36.658748,0.1,1,7.7696176,54.993529,0.2,1.5,0,64.647563,0,1.8,126.86287,131.92094,3.6,3.7,792.27323,303.286,22.3,7.9,721.31446,266.23101,20.3,6.9,1175.3359,296.21424,33.1,6.7,607.76344,383.93474,17.1,10.5,127.13913,116.51405,3.6,3.2,919.1361,336.99383,25.9,8.7,1898.5297,494.32391,53.5,11.4,2618875478.87964,658874.427749992
223,Southwest Georgia,No,31768,4516,ZCTA,2020 ZCTA 31768,3660.6174,468.35846,1116.9573,335.43149,35.7,9.6,1596.3666,341.67124,51,8.5,388.72266,173.0491,12.4,5.3,3.8777192,37.170981,0.1,1.2,20,50.954048,0.6,1.6,0,39.589329,0,1.3,4,54.540168,0.1,1.7,23.834542,78.989085,0.8,2.5,1093.1228,325.99848,34.9,9.3,877.54894,247.4915,28,6.9,718.81765,235.5572,23,6.9,388.72266,173.0491,12.4,5.3,3.8777192,37.170981,0.1,1.2,24,84.488223,0.8,2.7,1994.5062,416.85289,63.7,10.2,412.60038,184.18466,13.2,5.6,4052247620.55365,460251.649391884
224,RV / TR,No,31816,4551,ZCTA,2020 ZCTA 31816,839.46115,199.20333,209.09561,174.31684,26.9,21.4,470.10211,153.23916,60.5,13.1,97.610981,77.325261,12.6,9.5,0.44657654,18.956542,0.1,2.4,0,19.341342,0,2.5,0,19.341342,0,2.5,0,27.352788,0,3.5,8.0007734,34.592915,1,4.4,201.09484,170.8499,25.9,21.1,149.54004,99.189864,19.2,11.9,320.56207,116.80588,41.2,11.2,97.610981,77.325261,12.6,9.5,0.44657654,18.956542,0.1,2.4,0,38.682684,0,5,358.63565,200.56168,46.1,23.2,98.057557,81.930666,12.6,10.1,1056398924.35889,240964.282953236
225,Southwest Georgia,No,39817,4575,ZCTA,2020 ZCTA 39817,1515.2624,282.41189,309.47423,163.93228,22.4,11.1,957.0367,255.00755,69.2,13.3,116.39374,77.491988,8.4,5.4,0,22.779554,0,1.6,0,22.779554,0,1.6,0,22.779554,0,1.6,0,32.215154,0,2.3,48.700056,63.472348,3.5,4.5,260.77417,151.1458,18.9,10.4,607.90732,209.17891,44,12.8,349.12938,145.85278,25.2,9.5,116.39374,77.491988,8.4,5.4,0,22.779554,0,1.6,0,45.559108,0,3.3,917.38155,265.76232,66.3,14.8,116.39374,83.921537,8.4,5.9,4184803094.50751,562670.914366796
226,RV / SW,No,39877,4600,ZCTA,2020 ZCTA 39877,56.480206,37.247642,19.952382,32.352547,50.8,72.1,16.692633,22.436449,42.5,46.4,0.9849956,10.803901,2.5,27.4,0,8.2341774,0,21,0.90880501,6.222533,2.3,15.7,0.72704405,6.059748,1.9,15.4,0,11.644885,0,29.7,0.36352202,13.12722,0.9,33.4,19.58886,29.569637,49.9,64.3,10.69452,16.558355,27.2,36.3,5.9981133,15.139851,15.3,36.6,0.9849956,10.803901,2.5,27.4,0,8.2341774,0,21,1.6358491,14.527347,4.2,36.9,30.646901,36.343726,78,69.3,1.8938006,14.941415,4.8,37.9,1207657342.74304,278502.372325685
227,ARC / NE,Yes,30019,3865,ZCTA,2020 ZCTA 30019,2400.352,638.11418,92,207.74802,3.8,8.6,211.52786,222.09964,8.8,9,345.83796,207.11479,14.4,7.7,984.6237,461.55051,41,15.8,517.45681,264.92961,21.6,9.4,248.34781,288.28497,10.3,11.7,0,75.522238,0,3.1,0,92.495474,0,3.9,92,186.02103,3.8,7.7,0,119.41114,0,5,211.52786,187.2678,8.8,7.4,345.83796,207.11479,14.4,7.7,984.6237,461.55051,41,15.8,765.80462,398.74745,31.9,14.3,92,239.62107,3.8,9.9,1847.9185,571.06314,77,12.1,1311447766.96973,269926.163863093
228,Atlanta Regional Commission,Yes,30022,3867,ZCTA,2020 ZCTA 30022,6552.0648,675.64076,113.3484,212.76128,1.8,3.4,91.390464,192.60252,1.5,3.1,2390.6477,436.85945,38.8,5.8,2761.7181,523.45709,44.8,7,502.56711,199.85973,8.1,3.1,61.882618,81.797722,1,1.3,246.63387,158.40062,4,2.5,0,110.3303,0,1.8,113.3484,181.91918,1.8,2.9,41,151.33062,0.7,2.5,50.390464,119.14182,0.8,1.9,2390.6477,436.85945,38.8,5.8,2761.7181,523.45709,44.8,7,811.0836,267.81623,13.1,4.1,154.3484,261.09064,2.5,4.2,5654.9329,710.49097,91.7,6.2,669115390.765869,187018.518934351
229,Atlanta Regional Commission,Yes,30039,3877,ZCTA,2020 ZCTA 30039,2862.0479,466.52698,0.08781916,153.56412,0,5.5,247.70361,181.25414,8.9,6.3,1399.0026,381.20957,50.1,10.8,1111.8177,327.60502,39.8,9.6,36.021266,62.437724,1.3,2.2,0,51.187506,0,1.8,0,72.390065,0,2.6,0,88.659361,0,3.2,0.08781916,125.38523,0,4.5,63.585157,128.2022,2.3,4.6,184.11846,128.12985,6.6,4.5,1399.0026,381.20957,50.1,10.8,1111.8177,327.60502,39.8,9.6,36.021266,108.4387,1.3,3.9,63.672976,200.04435,2.3,7.1,2546.8415,506.50198,91.1,9.8,716722372.323975,166608.625376019
230,Atlanta Regional Commission,Yes,30044,3881,ZCTA,2020 ZCTA 30044,10827.861,865.59698,94.307548,226.88129,0.9,2.1,1286.1436,361.28539,12.1,3.3,6088.1833,682.19921,57.5,4.4,2701.2144,597.04388,25.5,5.2,373.71709,182.74084,3.5,1.7,43.01132,82.456986,0.4,0.8,0,104.1795,0,1,11,127.15759,0.1,1.2,83.307548,187.89909,0.8,1.8,174.24364,219.3772,1.6,2.1,1111.9,287.05536,10.5,2.6,6088.1833,682.19921,57.5,4.4,2701.2144,597.04388,25.5,5.2,416.72841,225.93525,3.9,2.1,268.55119,315.59702,2.5,3,9163.1148,924.79801,86.6,5.2,697059322.906982,170961.721891346
231,Atlanta Regional Commission,Yes,30076,3900,ZCTA,2020 ZCTA 30076,5855.2653,487.04413,112.84907,188.65033,2,3.3,311.86123,198.50256,5.4,3.4,3781.962,506.5633,65.8,6.8,1078.0812,278.50902,18.8,4.6,256.05304,152.64779,4.5,2.6,51.754678,71.47,0.9,1.2,152.80884,119.95289,2.7,2.1,6.4377322,95.655182,0.1,1.7,106.41134,162.60084,1.9,2.8,76.344402,136.51106,1.3,2.4,235.51682,144.11105,4.1,2.5,3781.962,506.5633,65.8,6.8,1078.0812,278.50902,18.8,4.6,460.61656,206.87678,8,3.5,189.19347,232.86094,3.3,4,5116.0962,597.89213,89,7.1,463407547.784424,177274.634445945
232,Atlanta Regional Commission,Yes,30114,3926,ZCTA,2020 ZCTA 30114,6557.5995,754.18039,53.610785,179.3541,0.9,2.9,1606.0087,428.78927,25.7,6.1,2591.1536,563.24978,41.4,7.5,1377.6705,485.06385,22,7.3,430.39245,322.62459,6.9,5.1,121,156.58361,1.9,2.5,77.352678,104.37526,1.2,1.7,8.1254568,100.40627,0.1,1.6,45.485328,148.61519,0.7,2.4,370.10728,206.50258,5.9,3.2,1235.9015,375.7884,19.8,5.5,2591.1536,563.24978,41.4,7.5,1377.6705,485.06385,22,7.3,628.74513,373.49598,10,5.8,423.71806,273.51638,6.8,4.3,4399.2165,810.32332,70.3,9.7,2836669884.92627,431738.329543708
233,Northwest Georgia,No,30125,3935,ZCTA,2020 ZCTA 30125,3150.3158,448.57199,436.29219,200.13033,14.8,6.4,2285.9226,447.73318,77.6,9.9,170.4918,105.42312,5.8,3.5,37.640149,52.737609,1.3,1.8,0,39.332587,0,1.3,0,39.332587,0,1.3,14.398131,58.225135,0.5,2,0,68.126039,0,2.3,436.29219,188.17809,14.8,6,1321.4397,334.65747,44.9,9.2,964.48285,297.43803,32.8,8.8,170.4918,105.42312,5.8,3.5,37.640149,52.737609,1.3,1.8,14.398131,80.524972,0.5,2.7,1757.7319,389.93304,59.7,9.8,208.13195,124.26722,7.1,4.1,5103263381.27271,543054.538533173
234,Atlanta Regional Commission,Yes,30189,3971,ZCTA,2020 ZCTA 30189,3463.0936,583.04915,25.460774,143.58046,0.8,4.4,373.49302,237.49185,11.3,6.9,1577.2408,501.44558,47.9,12.8,1028.2539,275.3923,31.2,6.4,287.02424,254.52283,8.7,7.6,0,46.702641,0,1.4,0,66.047508,0,2,0,80.891347,0,2.5,25.460774,118.6252,0.8,3.6,34.151658,115.00555,1,3.5,339.34137,207.7886,10.3,6.1,1577.2408,501.44558,47.9,12.8,1028.2539,275.3923,31.2,6.4,287.02424,267.06793,8.7,8,59.612432,183.96093,1.8,5.6,2892.519,626.1553,87.9,11.4,597244596.447266,151068.02950727
235,Atlanta Regional Commission,Yes,30213,3975,ZCTA,2020 ZCTA 30213,5847.4175,1073.1396,308.45957,287.59949,5.5,5,985.15701,472.28623,17.5,7.7,2484.7044,795.98223,44.1,11.3,1569.957,700.05383,27.8,11.2,237.18738,249.86201,4.2,4.4,45.574875,136.88649,0.8,2.4,8.0572147,71.031202,0.1,1.3,7.0809779,90.458923,0.1,1.6,301.37859,273.00302,5.3,4.7,187.71914,185.29909,3.3,3.2,797.43787,434.41745,14.1,7.2,2484.7044,795.98223,44.1,11.3,1569.957,700.05383,27.8,11.2,290.81947,293.62283,5.2,5.1,496.17871,342.12457,8.8,5.8,4291.8488,1089.0795,76.1,12.5,1759247361.70532,416467.700258854
236,Atlanta Regional Commission,Yes,30252,3997,ZCTA,2020 ZCTA 30252,2176.8313,425.80512,25.132468,162.59501,1.2,7.9,105.63039,189.57619,5.1,9.2,1378.3508,384.52155,67.1,12.8,355.48306,178.1866,17.3,7.9,127.47782,115.9076,6.2,5.5,16,55.499544,0.8,2.7,45,101.54506,2.2,4.9,5.2737679,93.390698,0.3,4.5,19.8587,133.09889,1,6.5,37.430943,131.06315,1.8,6.4,68.199443,136.97292,3.3,6.6,1378.3508,384.52155,67.1,12.8,355.48306,178.1866,17.3,7.9,188.47782,163.78697,9.2,7.8,62.563411,208.84129,3,10.2,1861.3117,439.36529,90.7,10.9,2658488875.77197,387370.654780569
237,ARC / TR,Partial,30276,4012,ZCTA,2020 ZCTA 30276,657.06184,174.05392,27.814751,101.06475,4.9,17.8,174.98394,120.86534,30.9,19.1,306.77917,146.81335,54.2,19.8,52.734974,41.92506,9.3,6.8,2.1300625,29.803073,0.4,5.3,1.5913514,31.626408,0.3,5.6,0,44.236069,0,7.8,0,54.177899,0,9.6,27.814751,85.316107,4.9,15,43.421285,77.32657,7.7,13.5,131.56265,92.892581,23.2,14.8,306.77917,146.81335,54.2,19.8,52.734974,41.92506,9.3,6.8,3.7214139,62.010343,0.7,11,71.236036,127.25361,12.6,22.1,361.6442,155.56379,63.9,19.1,2713874616.98877,361357.893523707
238,Atlanta Regional Commission,Yes,30294,4024,ZCTA,2020 ZCTA 30294,3308.7795,538.55903,63.252961,156.58103,2,4.9,826.63946,405.58346,26,12,1715.3659,369.49021,54,7.3,478.00926,223.51387,15,6.6,64.663809,84.055618,2,2.6,4.9315591,51.476372,0.2,1.6,26.106543,84.926181,0.8,2.7,0,89.73109,0,2.8,63.252961,128.31972,2,4,220.47462,177.9229,6.9,5.5,606.16483,364.47412,19.1,11,1715.3659,369.49021,54,7.3,478.00926,223.51387,15,6.6,95.701911,130.10619,3,4.1,283.72759,237.01092,8.9,7.3,2258.039,439.93955,71,7,919422980.746582,245559.454321781
239,Heart of Georgia Altamaha,No,30439,4086,ZCTA,2020 ZCTA 30439,1604.0913,234.54586,476.26259,176.04113,35.1,11.5,781.14177,202.10293,57.6,11.3,98.542518,82.074659,7.3,5.9,0.23666881,23.228905,0,1.7,0,23.360554,0,1.7,0,23.360554,0,1.7,0,33.036812,0,2.4,38.817348,58.393538,2.9,4.3,437.44524,166.0743,32.3,11,507.52539,165.6707,37.4,10.5,273.61637,115.75324,20.2,7.8,98.542518,82.074659,7.3,5.9,0.23666881,23.228905,0,1.7,0,46.721107,0,3.4,983.78798,241.73799,72.5,13,98.779186,88.439512,7.3,6.4,5918814997.47729,457811.284794327
240,Heart of Georgia Altamaha,No,30457,4100,ZCTA,2020 ZCTA 30457,829.74205,198.03591,175.11736,85.240399,26.5,11.1,473.93394,170.39368,71.8,18.6,10.639228,27.310317,1.6,4.1,0.06463195,17.96313,0,2.7,0,17.946391,0,2.7,0,17.946391,0,2.7,0,25.38003,0,3.8,0.07179115,31.10547,0,4.7,175.04557,79.362304,26.5,10,387.12628,159.87021,58.7,19.3,86.807656,58.953553,13.2,8.3,10.639228,27.310317,1.6,4.1,0.06463195,17.96313,0,2.7,0,35.892783,0,5.4,562.24364,181.17508,85.2,17.3,10.70386,37.290755,1.6,5.6,4931735453.28809,744373.910488405
241,Northwest Georgia,No,30513,4118,ZCTA,2020 ZCTA 30513,1570.3085,389.02074,237.37162,119.30435,16.9,7.1,874.30213,375.47955,62.1,20.6,254.50555,147.21693,18.1,9.2,20.739361,38.598986,1.5,2.7,17.051275,27.857922,1.2,2,3.9222238,18.186439,0.3,1.3,0,37.085549,0,2.6,25.494456,44.921056,1.8,3.2,211.87717,110.52433,15,6.7,704.27245,364.40607,50,22,170.02967,90.515788,12.1,5.5,254.50555,147.21693,18.1,9.2,20.739361,38.598986,1.5,2.7,20.973498,49.821164,1.5,3.5,941.64407,383.4388,66.9,20.2,292.29619,154.72159,20.8,9.4,4205895574.99829,846511.811464975
242,GM / NE,No,30635,4194,ZCTA,2020 ZCTA 30635,1850.8415,314.38097,530.74082,212.84566,31,11.1,977.7666,258.28646,57.1,11,189.02258,126.02119,11,7.1,14,33.311704,0.8,1.9,0,30.735478,0,1.8,0,30.735478,0,1.8,0,43.46653,0,2.5,90,101.89214,5.3,5.9,440.74082,186.87233,25.8,9.9,474.16201,187.70058,27.7,9.8,503.60458,177.42714,29.4,8.9,189.02258,126.02119,11,7.1,14,33.311704,0.8,1.9,0,61.470956,0,3.6,1004.9028,283.78651,58.7,12.8,203.02258,133.92415,11.9,7.5,8449190321.92432,604697.417768926
243,Northwest Georgia,No,30708,4221,ZCTA,2020 ZCTA 30708,21.867039,31.507809,4.5242147,22.779034,23.5,112,12.60317,33.104941,65.4,136.2,2.154388,11.163841,11.2,55.1,0,4.5948888,0,23.8,0,4.5948888,0,23.8,0,4.5948888,0,23.8,0,6.498154,0,33.7,0,7.9585808,0,41.3,4.5242147,21.343509,23.5,104.1,8.2943941,29.188229,43,134.8,4.308776,15.620001,22.3,72.7,2.154388,11.163841,11.2,55.1,0,4.5948888,0,23.8,0,9.1897775,0,47.7,12.818609,37.024817,66.5,159.9,2.154388,12.917327,11.2,64.6,976670950.869141,196984.687961091
244,Central Savannah River Area,No,30901,4272,ZCTA,2020 ZCTA 30901,4827.5426,512.83563,1053.6928,234.69007,23,4.4,2832.9493,485.73015,61.8,8,632.04781,161.63824,13.8,3.2,67.910072,56.250967,1.5,1.2,0,38.641128,0,0.8,0,38.641128,0,0.8,0,54.646808,0,1.2,78.665152,75.588923,1.7,1.6,975.02767,222.18403,21.3,4.2,1513.8037,327.83478,33,6.1,1319.1456,358.41058,28.8,7.1,632.04781,161.63824,13.8,3.2,67.910072,56.250967,1.5,1.2,0,77.282257,0,1.7,2567.4965,403.18119,56,6.2,699.95788,175.45435,15.3,3.4,519275644.955811,192163.82621002
245,Middle Georgia,No,31025,4301,ZCTA,2020 ZCTA 31025,87.329208,50.754257,5.6481581,29.241138,8.8,45,58.653947,56.590684,91.2,53.2,0,13.050428,0,20.3,0,9.2280462,0,14.4,0,9.2280462,0,14.4,0,9.2280462,0,14.4,0,13.050428,0,20.3,0,15.983445,0,24.9,5.6481581,24.486193,8.8,37.5,25.633947,41.547129,39.9,56.9,33.02,38.423191,51.4,44.9,0,13.050428,0,20.3,0,9.2280462,0,14.4,0,18.456092,0,28.7,31.282105,50.805591,48.6,69.6,0,18.456092,0,28.7,1864048795.10925,258642.15271037
246,CSRA / MG,No,31087,4352,ZCTA,2020 ZCTA 31087,824.11543,219.2101,245.24011,120.20276,34.6,13.6,382.28294,170.28958,54,18.2,80.579861,68.941125,11.4,9.2,0,24.73435,0,3.5,0,24.73435,0,3.5,0,24.73435,0,3.5,0,34.979653,0,4.9,29.206324,47.188228,4.1,6.6,216.03379,110.55304,30.5,12.8,144.66307,97.613455,20.4,12.4,237.61987,139.53549,33.6,17.1,80.579861,68.941125,11.4,9.2,0,24.73435,0,3.5,0,49.4687,0,7,389.90318,154.84537,55.1,14.9,80.579861,77.307534,11.4,10.4,12395304163.4199,768045.172345595
247,Coastal Regional Commission,No,31316,4384,ZCTA,2020 ZCTA 31316,1725.3528,359.23091,131.19974,158.42016,8.3,9.8,960.93301,335.27446,60.5,16.6,271.90537,134.97622,17.1,7.7,224.37731,175.12983,14.1,10.6,0,27.903976,0,1.8,0,27.903976,0,1.8,0,39.462181,0,2.5,9.5144081,51.143125,0.6,3.2,121.68533,149.93775,7.7,9.3,471.60883,223.91238,29.7,12.6,489.32419,249.544,30.8,14.2,271.90537,134.97622,17.1,7.7,224.37731,175.12983,14.1,10.6,0,55.807952,0,3.5,602.80857,274.28763,38,15.2,496.28267,222.86244,31.2,12.3,8068634597.21582,678077.780558059
248,Southern Georgia,No,31535,4425,ZCTA,2020 ZCTA 31535,1630.6649,313.06101,407.22877,197.581,28.3,12.4,893.28359,260.56654,62.1,12.7,95.885878,80.910969,6.7,5.4,41.748379,81.498569,2.9,5.6,0,26.286418,0,1.8,0,26.286418,0,1.8,1.2190386,37.706412,0.1,2.6,61.71506,99.59827,4.3,6.9,345.51371,170.64125,24,10.8,602.38029,226.85559,41.9,13.1,290.90331,128.18527,20.2,7.9,95.885878,80.910969,6.7,5.4,41.748379,81.498569,2.9,5.6,1.2190386,52.950213,0.1,3.7,1009.6091,300.83502,70.1,15,137.63426,117.81162,9.6,7.9,2682378711.10376,349504.704077124
249,SE / SW,No,31626,4465,ZCTA,2020 ZCTA 31626,435.87155,125.12074,75.275307,55.343089,24.3,15.6,153.96541,79.435443,49.8,18.3,73.568914,71.964401,23.8,21.6,4.800987,9.2163507,1.6,2.9,1.6464132,22.489864,0.5,7.3,0,16.044339,0,5.2,0,22.690122,0,7.3,13.346738,31.092499,4.3,9.9,61.928569,45.783337,20,12.9,62.463048,53.186281,20.2,15.6,91.502359,59.001772,29.6,15.8,73.568914,71.964401,23.8,21.6,4.800987,9.2163507,1.6,2.9,1.6464132,35.749916,0.5,11.6,137.73835,76.757006,44.5,18.9,80.016314,75.95795,25.9,22.7,3994045436.94543,394747.392886278
250,Southwest Georgia,No,31707,4490,ZCTA,2020 ZCTA 31707,5372.9462,559.78384,145.00566,135.4844,2.8,2.6,3749.7324,586.54157,71.5,8.2,1135.7297,302.85054,21.7,5.3,154.09827,100.73551,2.9,1.9,60.152999,71.019998,1.1,1.3,0.50988555,38.075928,0,0.7,0,53.873055,0,1,43.67339,81.374173,0.8,1.5,101.33227,108.32482,1.9,2.1,1394.9838,375.49365,26.6,6.6,2354.7486,450.59465,44.9,7.1,1135.7297,302.85054,21.7,5.3,154.09827,100.73551,2.9,1.9,60.662884,96.932566,1.2,1.8,1539.9895,399.18855,29.4,6.9,1349.9809,326.97085,25.7,5.6,516968993.623901,168519.456793755
251,Southwest Georgia,No,31763,4513,ZCTA,2020 ZCTA 31763,2142.1828,367.39174,139.93081,137.40129,6.9,6.7,1108.5025,293.52247,54.9,10.9,628.55753,200.37019,31.2,8.3,73.461528,79.033698,3.6,3.9,67.063782,90.790703,3.3,4.5,0,40.013217,0,2,0,56.587233,0,2.8,3.9709001,69.304924,0.2,3.4,135.95991,118.64207,6.7,5.8,335.17948,169.64432,16.6,7.9,773.32305,239.53339,38.3,9.8,628.55753,200.37019,31.2,8.3,73.461528,79.033698,3.6,3.9,67.063782,114.21963,3.3,5.6,475.11029,218.30783,23.5,10,769.08284,233.74664,38.1,9.5,7000143363.58838,598393.428043659
252,River Valley,No,31823,4555,ZCTA,2020 ZCTA 31823,81.414139,101.04904,0,19.648426,0,63.2,21.447812,30.69838,69,55,9.6296298,21.60091,31,58.9,0,6.5494753,0,21.1,0,6.5494753,0,21.1,0,6.5494753,0,21.1,0,9.2623567,0,29.8,0,11.344024,0,36.5,0,16.042872,0,51.6,7.4410777,16.252946,23.9,43.9,14.006734,26.042893,45.1,64.4,9.6296298,21.60091,31,58.9,0,6.5494753,0,21.1,0,13.098951,0,42.1,7.4410777,25.49939,23.9,77,9.6296298,23.50299,31,66,207278315.189941,108465.444280123
253,Southwest Georgia,No,39815,4574,ZCTA,2020 ZCTA 39815,161.06113,66.270411,14.83871,32.758381,10.4,22.4,102.56102,62.295346,71.6,28.2,25.845587,25.780882,18,16,0,11.738249,0,8.2,0,11.738249,0,8.2,0,11.738249,0,8.2,0,16.600391,0,11.6,0,20.331244,0,14.2,14.83871,25.685638,10.4,17.3,58.366218,36.519778,40.7,17.2,44.194797,50.46797,30.9,32.2,25.845587,25.780882,18,16,0,11.738249,0,8.2,0,23.476499,0,16.4,73.204929,49.059206,51.1,24.8,25.845587,30.663119,18,19.7,1528519776.64258,223343.661283449
254,Southwest Georgia,No,39897,4603,ZCTA,2020 ZCTA 39897,225.49133,81.232004,11.564254,45.592947,6.1,23.7,175.78836,90.143451,92,26.1,3.6587654,21.353867,1.9,11.1,0,15.959167,0,8.4,0,15.959167,0,8.4,0,15.959167,0,8.4,0,22.569671,0,11.8,0,27.642089,0,14.5,11.564254,36.257851,6.1,18.8,107.4943,68.953196,56.3,26.9,68.29406,58.062884,35.8,26.3,3.6587654,21.353867,1.9,11.1,0,15.959167,0,8.4,0,31.918335,0,16.7,119.05856,82.663535,62.3,34.1,3.6587654,31.070528,1.9,16.2,3843289917.76379,422367.777235632
255,Atlanta Regional Commission,Yes,30008,3856,ZCTA,2020 ZCTA 30008,5038.7772,570.7683,214.93087,196.13722,4.3,3.9,1681.3167,362.38215,34,6.2,2427.1228,561.87788,49.1,9.9,531.57684,215.86124,10.8,4.2,88.493431,84.914067,1.8,1.7,0,45.471912,0,0.9,0,64.306995,0,1.3,17.624841,82.954673,0.4,1.7,197.30603,177.73106,4,3.6,461.64176,196.68912,9.3,3.8,1219.6749,304.35868,24.7,5.5,2427.1228,561.87788,49.1,9.9,531.57684,215.86124,10.8,4.2,88.493431,115.81659,1.8,2.3,676.57264,277.77044,13.7,5.4,3047.1931,607.87599,61.6,10,266263740.395264,131544.751176887
