OBJECTID_1,Planning Region,ARC Modeling Area,Geographic ID for geographic unit,Logical record number,Summary level of geographic unit,Name of geographic unit,"# Renter-occupied housing units, 2020","# Renter-occupied housing units, 2020 (MOE)","# Gross rent less than $500, 2020","# Gross rent less than $500, 2020 (MOE)","% Gross rent less than $500, 2020","% Gross rent less than $500, 2020 (MOE)","# Gross rent $500 to $999, 2020","# Gross rent $500 to $999, 2020 (MOE)","% Gross rent $500 to $999, 2020","% Gross rent $500 to $999, 2020 (MOE)","# Gross rent $1,000 to $1,499, 2020","# Gross rent $1,000 to $1,499, 2020 (MOE)","% Gross rent $1,000 to $1,499, 2020","% Gross rent $1,000 to $1,499, 2020 (MOE)","# Gross rent $1,500 to $1,999, 2020","# Gross rent $1,500 to $1,999, 2020 (MOE)","% Gross rent $1,500 to $1,999, 2020","% Gross rent $1,500 to $1,999, 2020 (MOE)","# Gross rent $2,000 to $2,499, 2020","# Gross rent $2,000 to $2,499, 2020 (MOE)","% Gross rent $2,000 to $2,499, 2020","% Gross rent $2,000 to $2,499, 2020 (MOE)","# Gross rent $2,500 to $2,999, 2020","# Gross rent $2,500 to $2,999, 2020 (MOE)","% Gross rent $2,500 to $2,999, 2020","% Gross rent $2,500 to $2,999, 2020 (MOE)","# Gross rent $3,000 or more, 2020","# Gross rent $3,000 or more, 2020 (MOE)","% Gross rent $3,000 or more, 2020","% Gross rent $3,000 or more, 2020 (MOE)","# Gross rent less than $200, 2020","# Gross rent less than $200, 2020 (MOE)","% Gross rent less than $200, 2020","% Gross rent less than $200, 2020 (MOE)","# Gross rent $200 to $499, 2020","# Gross rent $200 to $499, 2020 (MOE)","% Gross rent $200 to $499, 2020","% Gross rent $200 to $499, 2020 (MOE)","# Gross rent $500 to $749, 2020","# Gross rent $500 to $749, 2020 (MOE)","% Gross rent $500 to $749, 2020","% Gross rent $500 to $749, 2020 (MOE)","# Gross rent $750 to $999, 2020","# Gross rent $750 to $999, 2020 (MOE)","% Gross rent $750 to $999, 2020","% Gross rent $750 to $999, 2020 (MOE)","# Gross rent $1,000 to $1,499, 2020.1","# Gross rent $1,000 to $1,499, 2020 (MOE).1","% Gross rent $1,000 to $1,499, 2020.1","% Gross rent $1,000 to $1,499, 2020 (MOE).1","# Gross rent $1,500 to $1,999, 2020.1","# Gross rent $1,500 to $1,999, 2020 (MOE).1","% Gross rent $1,500 to $1,999, 2020.1","% Gross rent $1,500 to $1,999, 2020 (MOE).1","# Gross rent $2,000 or more, 2020","# Gross rent $2,000 or more, 2020 (MOE)","% Gross rent $2,000 or more, 2020","% Gross rent $2,000 or more, 2020 (MOE)","# Gross rent less than $750, 2020","# Gross rent less than $750, 2020 (MOE)","% Gross rent less than $750, 2020","% Gross rent less than $750, 2020 (MOE)","# Gross rent $1,000 or more, 2020","# Gross rent $1,000 or more, 2020 (MOE)","% Gross rent $1,000 or more, 2020","% Gross rent $1,000 or more, 2020 (MOE)",Shape__Area,Shape__Length
368,Atlanta Regional Commission,Yes,30338,4055,ZCTA,2020 ZCTA 30338,6277.5083,730.871,10.71315,147.24832,0.2,2.4,210.66936,241.7703,3.4,3.9,3101.7796,724.61977,50.3,10.1,2428.1057,409.10307,39.4,4.7,283.6343,148.29887,4.6,2.3,49.289515,63.860773,0.8,1.0,83.368788,106.4409,1.4,1.7,4.4915824,85.212611,0.1,1.4,6.2215679,120.08696,0.1,1.9,10.47041,108.61433,0.2,1.8,200.19895,215.99955,3.2,3.5,3101.7796,724.61977,50.3,10.1,2428.1057,409.10307,39.4,4.7,416.29261,193.39187,6.7,3.0,21.18356,182.97306,0.3,3.0,5813.5196,845.24061,94.3,7.8,277092942.85791,92207.7851750218
372,Atlanta Regional Commission,Yes,30314,4038,ZCTA,2020 ZCTA 30314,5218.3117,490.57512,595.57749,197.6946,11.8,3.8,2628.4459,466.09167,52.1,7.8,1437.1225,230.59208,28.5,3.7,375.04041,152.29165,7.4,2.9,6.0,44.026597,0.1,0.9,0.0,45.103672,0.0,0.9,0.0,63.786225,0.0,1.3,144.59542,104.77189,2.9,2.1,450.98207,167.64846,8.9,3.2,1114.2456,337.75583,22.1,6.3,1514.2003,321.18911,30.0,5.7,1437.1225,230.59208,28.5,3.7,375.04041,152.29165,7.4,2.9,6.0,89.673659,0.1,1.8,1709.8231,391.35937,33.9,7.0,1818.1629,279.82815,36.1,4.3,127150930.168457,72581.7703859917
373,Atlanta Regional Commission,Yes,30344,4060,ZCTA,2020 ZCTA 30344,8031.3363,685.30868,229.44386,158.98146,3.0,2.0,3173.7141,554.7897,41.0,6.2,3340.359,555.39759,43.1,6.1,979.03162,263.28699,12.6,3.2,2.4989617,46.773394,0.0,0.6,4.5032058,54.981704,0.1,0.7,20.0,72.135295,0.3,0.9,3.9627907,80.202738,0.1,1.0,225.48107,137.26844,2.9,1.8,628.45451,202.00588,8.1,2.5,2545.2596,516.70614,32.8,6.0,3340.359,555.39759,43.1,6.1,979.03162,263.28699,12.6,3.2,27.002167,102.05018,0.3,1.3,857.89837,257.06318,11.1,3.2,4321.8896,616.42053,55.8,6.3,338950102.968506,150433.073486989
375,Atlanta Regional Commission,Yes,30315,4039,ZCTA,2020 ZCTA 30315,8290.6198,809.64597,1466.8176,333.60347,18.0,3.7,4185.7617,735.8691,51.5,7.5,1887.2175,333.20298,23.2,3.4,364.5439,142.89379,4.5,1.7,67.973576,63.258268,0.8,0.8,150.0,231.4744,1.8,2.8,6.3204226,75.363774,0.1,0.9,417.09289,197.05281,5.1,2.4,1049.7247,269.18668,12.9,3.1,1894.3472,612.79564,23.3,7.2,2291.4146,407.41238,28.2,4.2,1887.2175,333.20298,23.2,3.4,364.5439,142.89379,4.5,1.7,224.294,251.51879,2.8,3.1,3361.1647,697.71754,41.3,7.5,2319.735,368.02781,28.5,3.5,320135227.282715,106557.60482803
379,Atlanta Regional Commission,Yes,30341,4058,ZCTA,2020 ZCTA 30341,7071.987,630.23127,408.82028,347.31875,5.9,5.0,763.1166,276.25204,11.1,3.9,3692.3796,484.72281,53.6,5.1,1590.0538,345.71996,23.1,4.6,381.62585,159.78092,5.5,2.3,56.95379,64.049876,0.8,0.9,0.0,66.009588,0.0,1.0,37.945435,98.373845,0.6,1.4,370.87484,333.09593,5.4,4.8,162.05271,175.94232,2.4,2.5,601.06389,212.97768,8.7,3.0,3692.3796,484.72281,53.6,5.1,1590.0538,345.71996,23.1,4.6,438.57964,184.36267,6.4,2.6,570.87299,389.34049,8.3,5.6,5664.0592,616.44825,82.2,5.0,278989169.321045,126987.834082374
380,Atlanta Regional Commission,Yes,30342,4059,ZCTA,2020 ZCTA 30342,6755.4673,751.3152,2.2849095,134.32307,0.0,2.0,564.65745,271.82355,8.4,3.9,3253.3165,620.70712,48.5,7.5,2195.5605,536.36257,32.7,7.1,287.3379,134.62353,4.3,1.9,153.16476,99.827789,2.3,1.5,249.51566,157.21095,3.7,2.3,0.0,77.587932,0.0,1.2,2.2849095,109.64853,0.0,1.6,64.517126,117.88506,1.0,1.8,500.14032,244.93092,7.5,3.6,3253.3165,620.70712,48.5,7.5,2195.5605,536.36257,32.7,7.1,690.01833,229.792,10.3,3.2,66.802035,178.71647,1.0,2.7,5736.2149,831.3156,85.5,7.9,251763027.234863,101378.458971492
381,Atlanta Regional Commission,Yes,30317,4041,ZCTA,2020 ZCTA 30317,2014.9219,312.0396,223.56456,119.49158,11.3,5.8,450.46068,171.74497,22.7,7.9,881.6226,273.43216,44.5,11.9,251.04065,108.24241,12.7,5.1,138.48786,73.109267,7.0,3.5,19.021561,30.758987,1.0,1.5,15.921719,42.731054,0.8,2.2,70.31372,63.260677,3.6,3.1,153.25084,101.3722,7.7,5.0,146.94884,113.38034,7.4,5.6,303.51184,129.00091,15.3,6.1,881.6226,273.43216,44.5,11.9,251.04065,108.24241,12.7,5.1,173.43114,90.094524,8.8,4.3,370.5134,164.722,18.7,7.8,1271.1511,303.02892,64.2,11.5,99671032.4614258,72961.601172866
382,Atlanta Regional Commission,Yes,30345,4061,ZCTA,2020 ZCTA 30345,5479.7406,591.39079,63.598829,126.02189,1.2,2.3,511.69616,203.45545,9.4,3.6,2916.7161,500.39686,53.5,7.1,1696.4588,473.99332,31.1,8.0,234.36585,122.31179,4.3,2.2,23.125198,46.21414,0.4,0.8,7.5211763,56.780188,0.1,1.0,27.831609,75.87947,0.5,1.4,35.76722,100.6172,0.7,1.8,15.093292,89.525169,0.3,1.6,496.60287,182.7002,9.1,3.2,2916.7161,500.39686,53.5,7.1,1696.4588,473.99332,31.1,8.0,265.01223,142.54792,4.9,2.6,78.692121,154.58419,1.4,2.8,4847.5407,700.01918,88.9,8.5,199471400.625,112914.024890588
383,Atlanta Regional Commission,Yes,30324,4045,ZCTA,2020 ZCTA 30324,10348.415,851.77848,493.51318,357.43996,4.9,3.5,551.75523,228.95018,5.4,2.2,4373.3093,682.09022,43.0,5.6,3359.5159,511.14193,33.0,4.2,1256.132,360.50387,12.4,3.4,53.790604,68.192673,0.5,0.7,79.019713,84.425798,0.8,0.8,102.0,130.1468,1.0,1.3,391.51318,332.90409,3.9,3.3,119.96702,142.30799,1.2,1.4,431.78821,179.35056,4.2,1.7,4373.3093,682.09022,43.0,5.6,3359.5159,511.14193,33.0,4.2,1388.9423,376.48505,13.7,3.5,613.4802,384.72703,6.0,3.7,8988.9573,925.45998,88.4,5.2,148457277.567139,90081.0199752173
384,Atlanta Regional Commission,Yes,30328,4048,ZCTA,2020 ZCTA 30328,7881.3488,741.7776,309.63837,197.51169,4.0,2.5,560.07454,264.74041,7.2,3.4,3201.9796,573.26911,41.4,6.3,2352.2938,488.85757,30.4,5.6,818.36232,301.27467,10.6,3.8,378.87456,166.17363,4.9,2.1,115.42475,99.677309,1.5,1.3,44.0,93.889309,0.6,1.2,265.63837,173.769,3.4,2.2,136.94523,151.41349,1.8,1.9,423.12931,217.16685,5.5,2.8,3201.9796,573.26911,41.4,6.3,2352.2938,488.85757,30.4,5.6,1312.6616,358.21177,17.0,4.3,446.5836,248.87128,5.8,3.2,6372.6357,811.40965,82.4,6.9,361117899.858154,103902.353596413
385,Atlanta Regional Commission,Yes,30346,4062,ZCTA,2020 ZCTA 30346,2152.4521,372.71019,18.508417,64.88753,0.9,3.1,5.6427331,53.907687,0.3,2.6,1036.4679,402.4414,49.1,17.0,852.37664,281.31933,40.4,11.3,172.04713,168.06498,8.2,7.8,23.899035,41.695196,1.1,2.0,0.0,26.432916,0.0,1.3,18.508417,45.981457,0.9,2.2,0.0,45.783154,0.0,2.2,5.6427331,43.104409,0.3,2.0,0.0,32.373579,0.0,1.5,1036.4679,402.4414,49.1,17.0,852.37664,281.31933,40.4,11.3,195.94616,175.16571,9.3,8.1,24.15115,77.899818,1.1,3.7,2060.8917,518.98505,97.7,17.5,28137884.2817383,22098.4896753096
388,Atlanta Regional Commission,Yes,30318,4042,ZCTA,2020 ZCTA 30318,13663.683,990.52262,1495.5737,569.84019,11.2,4.2,2796.7222,530.80377,21.0,3.7,4702.9806,672.00046,35.3,4.3,2865.1729,446.11019,21.5,3.0,1070.1702,350.66933,8.0,2.6,205.72741,147.18218,1.5,1.1,175.63323,136.72173,1.3,1.0,191.86289,166.33259,1.4,1.2,1303.7108,545.02414,9.8,4.0,862.0225,311.72691,6.5,2.3,1934.6997,429.62655,14.5,3.0,4702.9806,672.00046,35.3,4.3,2865.1729,446.11019,21.5,3.0,1451.5309,404.13414,10.9,2.9,2357.5962,649.53176,17.7,4.7,8638.3237,879.52709,64.9,4.6,570977600.411621,177470.639417629
389,Atlanta Regional Commission,Yes,30354,4065,ZCTA,2020 ZCTA 30354,3913.1268,596.88097,413.09059,370.16198,11.4,10.1,1115.1886,303.0639,30.8,6.6,1878.3672,470.27862,51.9,9.7,198.8555,109.50819,5.5,2.9,0.16350184,31.496797,0.0,0.9,0.0,31.456041,0.0,0.9,11.030082,45.917414,0.3,1.3,12.027061,60.170692,0.3,1.7,401.06352,365.2388,11.1,9.9,534.58285,226.06211,14.8,5.7,580.60575,201.85057,16.1,4.9,1878.3672,470.27862,51.9,9.7,198.8555,109.50819,5.5,2.9,11.193583,63.952636,0.3,1.8,947.67343,433.7326,26.2,11.2,2077.3862,483.88643,57.4,9.4,299321864.313477,93169.3602211085
391,Atlanta Regional Commission,Yes,30319,4043,ZCTA,2020 ZCTA 30319,7870.428,616.82956,259.23977,294.66755,3.3,3.8,371.23652,206.08646,4.8,2.6,2914.3555,424.68112,37.6,4.6,2841.9278,444.42976,36.6,4.9,907.53841,248.17999,11.7,3.1,152.65342,102.17973,2.0,1.3,314.17285,139.2607,4.0,1.8,41.054567,101.59463,0.5,1.3,218.18521,276.59989,2.8,3.6,144.09754,155.84412,1.9,2.0,227.13898,134.84894,2.9,1.7,2914.3555,424.68112,37.6,4.6,2841.9278,444.42976,36.6,4.9,1374.3647,302.36988,17.7,3.6,403.33731,333.3412,5.2,4.3,6663.8217,662.9217,85.9,5.1,290917087.522217,108263.855213994
