neighborhood,rent_price,latitude,longitude
Vinnings on the Chattahochee,1893,33.8129805,-84.4793869
Watts Road,1893,33.7883,-84.487214
West Highlands,1893,33.7934182,-84.452709
Westover Plantation,1893,33.8235626,-84.4422098
Whittier Mill,1893,33.8087458,-84.48419539999999
Wildwood,1893,33.8141483,-84.4185796
North Buckhead,1881,33.8526562,-84.36537539999999
Georgia Tech,1874,33.7756178,-84.39628499999999
Marietta Street Artery,1874,33.772347,-84.4021642
Edgewood,1863,33.755401,-84.34072479999999
Brookhaven Country Club,1860,33.8653536,-84.3515759
Brookhaven Park,1860,33.8645225,-84.3396346
Ridgedale Park,1860,33.8521716,-84.3522332
Capitol Gateway,1854,33.7453143,-84.38412249999999
Oakland,1854,33.7476649,-84.3798319
Sweet Auburn,1854,33.7537814,-84.376547
Oaks Of Dunwoody,1844,33.9401661,-84.3557967
Bankhead,1823,33.7717269,-84.4192362
Center Hill,1823,33.7701651,-84.4618943
English Avenue,1823,33.7731707,-84.4089429
Grove Park,1823,33.7750273,-84.4461472
Brickstone Heights,1800,33.9068298,-84.4259872
Mount Paran - Northside,1800,33.8701303,-84.42678339999999
Riverview Palisades,1800,33.8151763,-84.47239
North Brookhaven,1795,33.8650186,-84.33712659999999
Boulevard Heights,1795,33.7225464,-84.3634056
Cabbagetown,1795,33.7497918,-84.365377
Reynoldstown,1792,33.7465852,-84.358167
Dunwoody West,1785,33.9462125,-84.3346473
Chattahoochee Bluffs,1784,33.8895474,-84.4512409
Cobb East,1784,33.7116451,-84.4306526
Cochise,1784,33.8657017,-84.4618709
Farmington,1784,33.8495448,-84.4640144
One River Place,1784,33.9020869,-84.4399521
Orchard Lake,1784,33.8534665,-84.4730459
Paces Lake,1784,33.8556863,-84.4692546
Stonewall,1784,33.6909845,-84.3585142
Vinings Heights,1784,33.8495281,-84.478293
Vinings View,1784,33.8724588,-84.4700942
Wescott,1774,33.8368182,-84.3811035
Windsor at Peachtree,1774,33.8839919,-84.3568703
Morningside - Lenox Park,1773,33.7961556,-84.3594626
Brookhaven Heights,1765,33.856802,-84.3404102
Dunwoody Club Forest,1755,33.748752,-84.38768449999999
Benteen Park,1733,33.7149755,-84.365377
Grant Park,1733,33.7371583,-84.36820999999999
Mechanicsville,1733,33.7419681,-84.3957413
Summerhill,1733,33.7367804,-84.38414089999999
Woodland Hills,1732,33.7220667,-84.35289039999999
Chastain Park,1728,33.8730719,-84.3988806
Marchman Estates,1728,33.9090281,-84.3880204
North Chastain Park,1728,33.8761057,-84.4094118
Brandon Mill Farms,1720,33.9452651,-84.3869541
Princeton Square,1720,33.7620558,-84.5198513
Wembley Hall,1720,33.730174,-84.4256623
Wildercliff,1720,33.958424,-84.3843507
Westhaven,1718,33.7561616,-84.4756695
East Lake,1711,33.7475043,-84.30028639999999
Kirkwood,1711,33.7533401,-84.3262185
The Village at East Lake,1711,33.7405706,-84.3136656
Brighton Village,1703,33.7228088,-84.3156204
East Atlanta,1703,33.7366044,-84.3357992
Ormewood Park,1703,33.7333284,-84.35551939999999
State Facility,1703,33.7223066,-84.3581483
Whitehall Forest Estates,1703,33.6845521,-84.31353469999999
Woodland Hills,1703,33.7220667,-84.35289039999999
Atlanta Industrial Park,1702,33.7994128,-84.4933758
Armour,1696,33.8122946,-84.3774155
Lindbergh,1696,33.8258116,-84.3670983
Martin Manor,1696,33.8184435,-84.3516604
Piedmont Heights,1696,33.8013127,-84.3720159
Pine Hills,1696,33.8375365,-84.3515759
Sheridan Court,1696,33.82289,-84.3430068
Mercer University,1690,33.8766249,-84.2609844
Executive Park,1689,33.7853323,-84.3852326
LaVista Park,1689,33.8177445,-84.3408942
Benton Woods,1685,33.9065388,-84.3739176
Chastain,1685,33.8727778,-84.39638889999999
Cherokee Park,1685,33.748752,-84.38768449999999
East Chastain Park,1685,33.8682434,-84.3844304
Glenridge Heights,1685,33.9081523,-84.3647056
High Point,1685,33.7174227,-84.3948223
Northland Ridge,1685,33.890511,-84.3600324
Ridgeview Forest,1685,33.6680219,-84.4923377
Saint Joseph,1685,33.7848302,-84.4706234
Starlight Hills,1685,33.8795475,-84.3615928
The Glenridge,1685,33.9141556,-84.3613915
Woodmoore,1685,33.8992014,-84.3595168
Green Hills,1683,33.898697,-84.377022
Embry Hills,1651,33.8900358,-84.29009769999999
Briarcliff,1623,33.816771,-84.3132574
Frontier Woods,1623,33.748752,-84.38768449999999
Constitution,1593,33.6891213,-84.3405849
Custer - McDonough - Guice,1593,33.7152825,-84.35683379999999
Brown Field,1568,33.7771801,-84.5216729
Park Plateau,1568,33.6611884,-84.5168701
Utoy Creek,1568,33.73756829316095,-84.54317822546517
West Park - Fulton,1568,33.8630508,-84.3913093
Westchase Glen,1568,33.5809789,-84.46826039999999
Avalon,1566,33.6951623,-84.5201119
Bakers Glen,1566,33.9738723,-84.3382003
Ball Mill Place,1566,33.9690054,-84.3279235
Bentwater,1566,33.748752,-84.38768449999999
Carroll Manor,1566,34.0001479,-84.3403624
Chaparral Estates,1566,33.843455,-84.3287655
Chattahoochee Terrace,1566,33.8240821,-84.4527062
Deerfield,1566,33.7731235,-84.3756373
Dunwoody Lake,1566,33.9911044,-84.3445062
Fenimore,1566,33.748752,-84.38768449999999
Four Seasons,1566,33.7864557,-84.3853231
Gates On The River,1566,33.748752,-84.38768449999999
Grogan's Bluff,1566,33.9753815,-84.3573572
Hannover Forest,1566,33.7998163,-84.3687883
Heatheridge,1566,33.748752,-84.38768449999999
Hope Springs Manor,1566,33.7623738,-84.3253184
Huntcliff,1566,33.9928825,-84.3541566
Huntcliff Summit,1566,33.986563,-84.35263859999999
Masons Creek,1566,33.9923167,-84.3404047
Meadow Gate,1566,33.9694359,-84.2751617
Misty Creek Farms,1566,33.7614886,-84.3878638
Northridge Forest,1566,33.7998163,-84.3687883
Overton Hills,1566,33.8994901,-84.3666987
Ridge Mark Garden,1566,33.748752,-84.38768449999999
River Bluff,1566,33.9709339,-84.2721449
River Oaks,1566,33.8751003,-84.4611232
River Run,1566,33.9989384,-84.358795
Rivergate,1566,33.975928,-84.2977134
Sentinel Ferry,1566,33.7794254,-84.3679028
Serendipity,1566,33.9275308,-84.3431552
Shore Meadows,1566,33.819156,-84.3601339
Spalding Chase,1566,33.9656292,-84.2909797
Spalding Green,1566,33.748752,-84.38768449999999
Spalding Heights,1566,33.9680203,-84.2914048
Spalding Lake,1566,33.9693275,-84.2844192
Spindlewick,1566,33.9729356,-84.3431896
Stratford Manor,1566,33.7580853,-84.4883723
The Vineyards,1566,33.6558569,-84.5815451
Towergate,1566,33.9885052,-84.347129
Tynecastle,1566,33.9773322,-84.3320344
Victoria Heights - Dunwoody Square,1566,33.9492982,-84.3196807
Woodland Forest,1566,33.748752,-84.38768449999999
Dunwoody Reservoir,1563,33.9911044,-84.3445062
Lakeview,1563,33.7529541,-84.3132771
Peachtree Corners,1563,33.9698809,-84.22147059999999
Winters Chapel,1563,33.9367383,-84.267482
North Doraville,1535,33.8477294,-84.4194164
Northcrest,1535,33.8944794,-84.2502121
The Villages at Castleberry Hill,1532,33.7465931,-84.407309
Arbor Creek,1520,33.8913982,-84.2694142
Adair Park,1446,33.7311697,-84.41047100000002
Bush Mountain,1446,33.7277591,-84.43236499999999
Capitol View,1446,33.7179062,-84.4146403
Capitol View Manor,1446,33.7180387,-84.4021642
Fort McPherson,1446,33.7077085,-84.4356468
Harris Chiles,1446,33.7446648,-84.4212057
Oakland City,1446,33.7254037,-84.42645739999999
West End Atlanta,1446,33.7383798,-84.4233849
Westview,1446,33.7428599,-84.43724069999999
Westview Cemetery,1446,33.7463642,-84.4422021
Westwood Terrace,1446,33.7355488,-84.4507406
Pittsburgh,1419,33.7281143,-84.4031953
Sylvan Hills,1419,33.7019204,-84.4182972
Amal Heights,1399,33.7081093,-84.3982238
Betmar LaVilla,1399,33.7068352,-84.4008508
Chosewood Park,1399,33.7203589,-84.376547
Englewood Manor,1399,33.7219749,-84.3749122
Hammond Park,1399,33.6771069,-84.4084799
High Point,1399,33.7174227,-84.3948223
Joyland,1399,33.7122289,-84.3969103
Lakewood,1399,33.6937118,-84.3726049
Lakewood Heights,1399,33.7073259,-84.3800461
Leila Valley,1399,33.6894204,-84.3548622
Norwood Manor,1399,33.6974726,-84.3634056
Park Place South,1399,33.7059539,-84.39677619999999
Peckerson,1399,33.748752,-84.38768449999999
Peoplestown,1399,33.7278848,-84.3852043
Polar Rock,1399,33.694904,-84.3988806
Rebel Valley Forest,1399,33.6859671,-84.35551939999999
South Atlanta,1399,33.7123595,-84.3844304
Swallow Circle - Baywood,1399,33.6928557,-84.3844304
The Villages at Carver,1399,33.712598,-84.3896854
Thomasville Heights,1399,33.7028055,-84.3581483
Cascade Falls,1385,33.7186284,-84.4952153
Cascade Lake Estate,1385,33.67792440000001,-84.53335899999999
Fulton Industrial,1385,33.7595547,-84.5399924
Old Gordon,1385,33.7682691,-84.51304309999999
Adamsville,1379,33.7595402,-84.5054158
Anatole,1379,33.6896972,-84.61956020000001
Arlington Estates,1379,33.6915398,-84.5418765
Ashley Courts,1379,33.7193792,-84.5254956
Baker Ferry,1379,33.7550415,-84.52877219999999
Baker Hills,1379,33.7602634,-84.5209081
Bankhead - Bolton,1379,33.7873644,-84.5029931
Bankhead Courts,1379,33.7935287,-84.5018991
Barrington Trace,1379,33.6881701,-84.5506739
Ben Hill,1379,33.6906644,-84.51131939999999
Ben Hill Acres,1379,33.6956061,-84.50779910000001
Ben Hill Forest,1379,33.676531,-84.5018991
Ben Hill Heights,1379,33.6818717,-84.4722494
Ben Hill Manor,1379,33.6906644,-84.51131939999999
Ben Hill Pines,1379,33.6837321,-84.50714359999999
Ben Hill Terrace,1379,33.698974,-84.5209081
Boulder Park,1379,33.752885,-84.5327095
Brentwood,1379,33.6731922,-84.50517699999999
Briar Glen,1379,33.6974924,-84.50321029999999
Brittany Park,1379,33.6884935,-84.5929403
Burton On Cascade,1379,33.7348004,-84.4374722
Butner Tell,1379,33.6827155,-84.53139320000001
Cambridge Commons,1379,33.7070714,-84.5684453
Canaan Glen,1379,33.6870329,-84.5819705
Canaan Ridge at Wolf Creek,1379,33.663718,-84.5795671
Canaan Trace,1379,33.6852381,-84.5762
Canaan Walk,1379,33.6896048,-84.5850471
Canaan Woods,1379,33.6971792,-84.5826804
Carousel Drive,1379,33.6691834,-84.5029698
Carroll Heights,1379,33.7763899,-84.50779910000001
Cascade,1379,33.7556368,-84.4969079
Cascade Commons,1379,33.7315441,-84.510931
Cascade Cove,1379,33.7255522,-84.4491736
Cascade Crossing,1379,33.7248373,-84.50820159999999
Cascade Hills,1379,33.725872,-84.5627651
Cascade Knolls,1379,33.7323798,-84.5359799
Cascade Manor,1379,33.7290724,-84.5241849
Cascade Oaks,1379,33.7227751,-84.5133606
Cascade Place,1379,33.7341709,-84.4353909
Cottages at Cascade,1379,33.7317143,-84.5415917
Cowart Lake,1379,33.6682256,-84.53466949999999
Deerwood,1379,33.67554459999999,-84.51107669999999
Deerwood Reserve,1379,33.6712327,-84.51599259999999
East Point Reservoir,1379,33.6960253,-84.5408937
Elmco Estates,1379,33.6903513,-84.530738
English Park,1379,33.7930616,-84.4914087
Enon Forest,1379,33.6912199,-84.5624316
Enon Pines,1379,33.699995,-84.5509949
Fairburn,1379,33.6936323,-84.52615089999999
Fairburn Heights,1379,33.7689667,-84.5001151
Fairburn Mays,1379,33.7403015,-84.5104212
Fairburn Tell,1379,33.6936323,-84.52615089999999
Fairway Acres,1379,33.6858499,-84.53925579999999
Fairwoods Estates,1379,33.8403779,-84.3042497
Fontainebleau,1379,33.6828325,-84.4882109
Grandview Estates,1379,33.8368127,-84.3763579
Greenbriar Village,1379,33.7046908,-84.53991099999999
Guilford Forest,1379,33.724705,-84.5442764
Heritage Valley,1379,33.7065199,-84.50255469999999
Huntington,1379,33.8050394,-84.387634
Joe Estates,1379,33.748752,-84.38768449999999
JW Thompson,1379,33.8383269,-84.37434979999999
Kimberley Courts,1379,33.7452158,-84.4748337
Kings Forest,1379,33.7998163,-84.3687883
Lake Estates,1379,33.67792440000001,-84.53335899999999
Le Grande,1379,33.8498184,-84.4382721
Legacy at Traxton Reserve,1379,33.8477525,-84.34214
Loch Lomond,1379,33.7139301,-84.5443019
Madison Trace,1379,33.7759171,-84.3852972
Martins Park,1379,33.719074,-84.5107489
Meadowbrook Forest,1379,33.6933122,-84.50321029999999
Mellwood,1379,33.6882467,-84.5068158
Melvin Drive Park,1379,33.7098882,-84.51566489999999
Montclair Estates,1379,33.8064288,-84.3917604
Mt. Gilead Woods,1379,33.6959792,-84.4941822
Niskey Cove,1379,33.7084655,-84.530738
Niskey Lake,1379,33.7161572,-84.53139320000001
Niskey Lake Falls,1379,33.7161572,-84.53139320000001
Old Fairburn Village,1379,33.6550769,-84.5320765
Overlook at Camp Creek,1379,33.6561557,-84.5009075
Princeton Lakes,1379,33.6610546,-84.514354
Promenade Oaks,1379,33.7078989,-84.5509761
Ralph Bunche,1379,33.7012832,-84.5305571
Regency Hills,1379,33.7105263,-84.5599724
Regency Trace,1379,33.7082506,-84.5382773
Reserve at Boulder Park,1379,33.752885,-84.5327095
Reunion PLace,1379,33.7235633,-84.527187
Ridgecrest Forest,1379,33.7437843,-84.52615089999999
Rockburn Estates,1379,33.748752,-84.38768449999999
Rue Royal,1379,33.6854014,-84.5055047
Sandlewood Estates,1379,33.7020196,-84.54253159999999
Sandtown Center,1379,33.7164822,-84.5654209
Sandtown Park,1379,33.7183603,-84.5695496
South Center Atlanta,1379,33.8356603,-84.4657176
Stonewall Tell,1379,33.6368503,-84.5803572
Tampa Park,1379,33.6794279,-84.5082908
Versailles,1379,33.7177892,-84.5538119
Village Of Cascade,1379,33.7402806,-84.5076859
Westlake,1379,33.7580841,-84.4408972
Wexwood Glen,1379,33.6920531,-84.5552093
Wildwood East,1379,33.7434359,-84.5182866
Wildwood Forest,1379,33.6823368,-84.53860069999999
Wildwood Lake Estates,1379,33.67792440000001,-84.53335899999999
Wilson Mill Meadows,1379,33.7519081,-84.5209081
Wisteria Gardens,1379,33.7570132,-84.5104212
Woodside Hills,1379,33.6974267,-84.5695246
Wyncreek Estates,1379,33.6870664,-84.5631326
Browns Mill Park,1363,33.686544,-84.382345
Ashview Heights,1354,33.7515681,-84.41989269999999
Greenbriar,1323,33.6782996,-84.4947979
Suttles Landing,1323,33.7162259,-84.50765229999999
Butner Meadows,1302,33.6811611,-84.5371805
Falls at Cascade Palms,1302,33.7220503,-84.4635955
Lakeside Manor,1302,33.7623738,-84.3253184
Oxmoor Estates,1302,33.748752,-84.38768449999999
Palmetto Farms,1302,33.6914154,-84.5251421
Vandivers Lake,1302,33.6794704,-84.56054499999999
Waterford Commons,1302,33.6827159,-84.60045029999999
Wellesley,1302,33.8198054,-84.414591
Wolf Creek,1302,33.6739167,-84.5678767
Wolf Creek Country Club,1302,33.6709869,-84.5791462
Blair Villa - Poole Creek,1293,33.6521117,-84.3806123
Blalock Heights,1293,33.6391411,-84.3860907
Glenrose Heights,1293,33.6728522,-84.3934592
Maxwelton,1293,33.748752,-84.38768449999999
Mountain View,1293,33.641667,-84.390278
Old Dixie Perimeter,1293,33.7628407,-84.4926429
Orchard Knob,1293,33.6702028,-84.376547
Rosedale Heights,1293,33.678564,-84.376547
South River Gardens,1293,33.6680966,-84.3643912
Southwoods,1293,33.6957941,-84.5203931
Beecher Hills,1293,33.7311741,-84.4618943
Florida Heights,1293,33.7490052,-84.463515
Venetian Hills,1293,33.719089,-84.4408972
Carriage Colony,1274,33.748752,-84.38768449999999
Cheviot Hills,1274,33.5973329,-84.865772
Colonial Hills,1274,33.6951104,-84.4343341
Conley Hills,1274,33.6707253,-84.4802076
Connally Heights,1274,33.6950707,-84.464593
Eagan Park,1274,33.6643344,-84.4317087
East Washington,1274,33.6757739,-84.4288768
Forest Acres,1274,33.8193293,-84.4874743
Frog Hollow,1274,33.6809806,-84.44549099999999
Glendale Heights,1274,33.763767,-84.3350873
Highwood Park,1274,33.6408604,-84.4918748
Historic Conley Hills,1274,33.6818835,-84.4500844
Jefferson Park,1274,33.6866626,-84.4264163
Meadow Lark,1274,33.6731287,-84.4708584
Oak Knoll,1274,33.7095535,-84.3778382
Piney Woods,1274,33.6829972,-84.4819349
River Park,1274,33.7885032,-84.4512711
Sarah Sosby,1274,33.748752,-84.38768449999999
Semmes Park,1274,33.6874575,-84.4500844
The Villages of East Point,1274,33.7032747,-84.44549099999999
Williamsburg,1274,33.6422489,-84.4749005
Oak Ridge,1252,33.7488389,-84.2939959
Lakeside,1250,33.8456579,-84.2848966
Atlanta University Center,1245,33.749305,-84.4144743
Dixie Hills,1245,33.7573701,-84.4497926
Hunter Hills,1245,33.7576114,-84.4303959
Just Us,1245,33.7524717,-84.42448809999999
Mozley Park,1245,33.7511033,-84.4321798
Penelope Neighbors,1245,33.7516524,-84.452709
Vine City,1245,33.7580245,-84.4099991
Washington Park,1245,33.7585894,-84.4212057
West Lake,1245,33.7580841,-84.4408972
Amhurst,1241,33.7739978,-84.4942566
Ashley Downs,1241,33.5679607,-84.4782143
Beacon Hills,1241,33.9390584,-84.3603772
Beaver Creek,1241,33.5823605,-84.4889763
Benchmark,1241,33.79189210000001,-84.49502939999999
Big Creek,1241,33.748752,-84.38768449999999
Bon Haven Estates,1241,33.748752,-84.38768449999999
Britanny Forest,1241,33.6076318,-84.4623584
Broadstone,1241,33.7561771,-84.32880809999999
Brookwood,1241,33.8026052,-84.39298269999999
Buffington Park,1241,33.748752,-84.38768449999999
Burdette Ridge,1241,33.5968539,-84.4810298
Camelot Club,1241,33.60221,-84.474842
Castle Cove,1241,33.748752,-84.38768449999999
Champions Park,1241,33.6372068,-84.55346310000002
Cherry Hill,1241,33.7739098,-84.3954427
Clayton Woods,1241,33.748752,-84.38768449999999
Cliftondale,1241,33.6556555,-84.5812436
College Heights,1241,33.7554936,-84.2923917
Connie Lee,1241,33.748752,-84.38768449999999
Cooks Crossing,1241,33.6266053,-84.4739755
Cooks Landing,1241,33.6406868,-84.6124023
Cork Meadows,1241,33.7835848,-84.371108
Creekside,1241,33.6308147,-84.53991099999999
Creekside at Scarborough,1241,33.6289336,-84.5393369
Creel And Bethsaida Corner,1241,33.748752,-84.38768449999999
Creel Walk,1241,33.566145,-84.482466
Crenshaw Park,1241,33.7398723,-84.4172703
Deep Creek Acres,1241,33.6314992,-84.5985429
Delano Park,1241,33.6257185,-84.5168528
Devon Estate,1241,33.7070768,-84.4835919
Edgewater -  Central Park,1241,33.7690342,-84.37593869999999
Emerald Pointe,1241,33.5844611,-84.4777982
Exodus,1241,33.7706862,-84.3866474
Falcon Forest,1241,33.748752,-84.38768449999999
Feldwood Lake,1241,33.5993424,-84.5157634
Flat Shoals -  Centennial Walk,1241,33.5876476,-84.473756
Flat Shoals Estates,1241,33.5826113,-84.4679834
Forest Downs,1241,33.6106841,-84.5543417
Gates at Stone Lake,1241,33.6529125,-84.5616005
Granada,1241,33.7183467,-84.4620633
Hallie Hills,1241,33.748752,-84.38768449999999
Happy Hollow,1241,33.9510177,-84.2814729
Harriston Square,1241,33.7728428,-84.3952609
Heritage Park,1241,33.7397599,-84.38590839999999
Herron Creek,1241,33.646351,-84.5647259
Hidden Brook,1241,33.6010941,-84.4260702
Hidden Valley,1241,33.6370341,-84.5343895
High Grove,1241,33.596795,-84.4350061
Highland,1241,33.7817345,-84.3635127
Highland Lake,1241,33.6417664,-84.5559045
Hillandale,1241,33.7236458,-84.3486369
Jailette Estates,1241,33.647647,-84.531675
Jailette Trace,1241,33.6401828,-84.5416994
Kensington Heights,1241,33.6259951,-84.5254956
Kensington Woods,1241,33.7562454,-84.3510058
Kimberly,1241,33.718386,-84.5241138
Kimberly Forest,1241,33.5781442,-84.4842762
Legend Oaks,1241,33.662577,-84.58824899999999
Madison Place,1241,33.9289016,-84.2828465
Magnolia Estates,1241,33.76691,-84.339384
Magnolia Walk,1241,33.588674,-84.4947888
Mallory Park,1241,33.748752,-84.38768449999999
Mallory Walk,1241,33.5975233,-84.5254697
Meadows,1241,33.7835848,-84.371108
Melanie Manor,1241,33.5975353,-84.5205805
Melanie Woods,1241,33.6014774,-84.5173559
Monterey,1241,33.8149373,-84.413803
Morning Creek Estates,1241,33.6016203,-84.5125132
Morning Creek Lake,1241,33.61099,-84.5094379
Muir Woods,1241,33.748752,-84.38768449999999
Normandy,1241,33.8323268,-84.4025541
Old National East,1241,33.748752,-84.38768449999999
Overlook at Pinnacle,1241,33.748752,-84.38768449999999
Park Place South,1241,33.7059539,-84.39677619999999
Parkside,1241,33.771575,-84.430953
Parkway Villages,1241,33.7944591,-84.40729449999999
Pine Shoals,1241,33.6014875,-84.4175428
Pittman Park,1241,33.7275654,-84.3978621
Pointer Ridge,1241,33.748752,-84.38768449999999
Ponderosa,1241,33.5865583,-84.4953489
Ponderosa Pines,1241,33.748752,-84.38768449999999
Pontevedra,1241,33.6519739,-84.580181
Premier Garden,1241,33.596709,-84.41064639999999
Prestons Vineyard,1241,33.9099426,-84.3420587
Providence Place,1241,33.7422025,-84.5047507
Regency Oaks,1241,33.6622954,-84.5878333
Reserve at Morning Creek,1241,33.6016203,-84.5125132
Retreat at Jones Mill,1241,33.9388979,-84.2482923
River's Station,1241,33.6014475,-84.4451209
Rivers Station,1241,33.6067812,-84.4452261
Ruby Creek Estates,1241,33.6567143,-84.380499
Sable Chase,1241,33.5977106,-84.505387
