neighborhood,rent_price,latitude,longitude
Sable Glen,1241,33.5991298,-84.5026335
Sand Pipers Cove,1241,33.7251265,-84.4827742
Scaraborough Park,1241,33.748752,-84.38768449999999
Shandra Estates,1241,33.748752,-84.38768449999999
Sherbrook Forest,1241,33.7998163,-84.3687883
Shoals Creek,1241,33.5847769,-84.4835139
Silverwood,1241,33.59992,-84.4205538
Southern Colony,1241,33.882461,-84.3023879
Southern Pines,1241,33.748752,-84.38768449999999
Stonewall Manor,1241,33.638579,-84.56605909999999
Stonewyck,1241,33.8003111,-84.2650959
Sun Rise,1241,33.8841372,-84.4661701
Swan Creek,1241,33.7600007,-84.38941860000001
Tacoma Forest,1241,33.7946006,-84.4311402
Terrell Estates,1241,33.7836289,-84.4037255
Three Lakes,1241,33.6036433,-84.4763183
Traxton Point,1241,33.8696469,-84.4611317
Union Crossing,1241,33.6528702,-84.5676353
Vermont Estates,1241,33.8557044,-84.3530251
Walden Park,1241,33.6628705,-84.6354794
Waterford Edge,1241,33.880334,-84.4692768
Waverly Park,1241,33.6036848,-84.526057
Wexford,1241,33.8503861,-84.3459976
Will Lee Pines,1241,33.6315556,-84.5182845
Williams Bluff,1241,33.7394335,-84.4101235
Woodland Estates,1241,33.6625216,-84.3983888
Woodward Estates,1241,33.748752,-84.38768449999999
Woodward Hills,1241,33.748752,-84.38768449999999
Silverwood Estates,1236,33.59992,-84.4205538
Adams Park,1231,33.7144587,-84.4618943
Audobon Forest,1231,33.7301921,-84.4710782
Audobon Forest West,1231,33.7257564,-84.4809164
Bonnybrook Estates,1231,33.694686,-84.478568
Campbellton Road,1231,33.699312,-84.4818465
Cascade Glen,1231,33.6936168,-84.5150166
Cascade Heights,1231,33.7194001,-84.47894889999999
Cascade Road,1231,33.7220924,-84.4977278
Chalet Woods,1231,33.7462965,-84.4730459
East Ardley Road,1231,33.72906830000001,-84.4927201
Fort Valley,1231,33.7007827,-84.4520529
Green Acres Valley,1231,33.7293601,-84.4992767
Green Forest Acres,1231,33.7319708,-84.49534280000002
Harland Terrace,1231,33.7499246,-84.4763254
Horseshoe Community,1231,33.7000969,-84.3100248
Ivan Hill,1231,33.745548,-84.4874743
Laurens Valley,1231,33.7082553,-84.47894889999999
Legacy at King Walk,1231,33.7481157,-84.4898983
Lynn Valley,1231,33.7371171,-84.4834713
Magnum Manor,1231,33.7227708,-84.49206439999999
Peyton Forest,1231,33.7445884,-84.4815722
Pomona Park,1231,33.7063555,-84.4520529
Regency Point,1231,33.7262838,-84.4980215
Southwest Atlanta,1231,33.7044849,-84.48813
Sunridge Construction,1231,33.687377,-84.383715
West Manor,1231,33.7368166,-84.4946871
Hartsfield Jackson Atlanta Airport,1218,33.6361631,-84.4293751
